AAAAMM,TM,RR,TN,TX
1950-01-01,1.9451612903225808,55.0,-10.0,13.7
1950-02-01,6.042857142857143,88.0,-2.6,18.8
1950-03-01,7.848387096774194,29.4,-4.1,19.1
1950-04-01,9.21,70.8,-0.5,24.4
1950-05-01,16.35483870967742,82.39999999999999,5.4,29.0
1950-06-01,20.973333333333336,60.8,10.6,36.2
1950-07-01,23.187096774193545,32.3,12.6,37.6
1950-08-01,21.338709677419356,89.5,9.6,34.0
1950-09-01,15.843333333333334,66.1,2.4,30.1
1950-10-01,11.435483870967742,29.4,-4.5,23.0
1950-11-01,8.113333333333333,182.79999999999998,-4.2,16.7
1950-12-01,0.5774193548387098,38.4,-11.6,12.4
1951-01-01,3.9645161290322584,43.0,-3.3,12.6
1951-02-01,5.139285714285714,81.6,-2.2,12.1
1951-03-01,6.325806451612903,86.0,-5.1,20.9
1951-04-01,10.756666666666666,23.5,-0.7,23.2
1951-05-01,13.341935483870968,103.1,3.8,27.1
1951-06-01,17.69333333333333,135.0,8.2,31.1
1951-07-01,20.016129032258064,67.9,10.7,32.7
1951-08-01,18.85483870967742,142.2,9.8,30.0
1951-09-01,17.279999999999998,52.5,4.6,30.2
1951-10-01,10.90967741935484,65.4,1.8,22.3
1951-11-01,9.166666666666666,131.4,-1.0,21.0
1951-12-01,3.1322580645161286,29.7,-4.6,11.8
1952-01-01,1.0161290322580645,50.6,-10.4,11.2
1952-02-01,0.893103448275862,45.4,-11.0,14.0
1952-03-01,9.219354838709679,61.9,-3.3,20.8
1952-04-01,12.186666666666667,39.7,-1.0,25.6
1952-05-01,15.651612903225805,39.6,4.5,26.0
1952-06-01,20.13,63.9,9.5,34.5
1952-07-01,23.69677419354839,15.5,10.4,39.5
1952-08-01,21.096774193548388,76.4,11.2,37.2
1952-09-01,14.19,50.8,2.2,25.4
1952-10-01,11.490322580645161,102.60000000000001,0.1,20.7
1952-11-01,5.8933333333333335,117.8,-8.0,18.2
1952-12-01,3.1580645161290324,52.099999999999994,-6.6,18.9
1953-01-01,-1.2967741935483872,9.7,-9.8,9.8
1953-02-01,1.75,10.8,-7.6,12.8
1953-03-01,7.987096774193549,0.7,-3.1,21.1
1953-04-01,11.653333333333334,70.6,0.9,23.2
1953-05-01,16.706451612903226,20.299999999999997,1.0,32.0
1953-06-01,17.04,151.6,4.7,29.0
1953-07-01,20.293548387096774,57.9,10.2,33.0
1953-08-01,20.470967741935485,59.4,9.0,33.2
1953-09-01,17.923333333333336,100.7,6.8,33.2
1953-10-01,12.770967741935483,85.60000000000001,1.2,24.1
1953-11-01,5.533333333333333,14.7,-1.3,17.3
1953-12-01,6.293548387096774,33.7,-2.6,18.7
1954-01-01,0.7258064516129032,45.5,-10.4,12.3
1954-02-01,1.217857142857143,36.9,-13.5,12.5
1954-03-01,8.338709677419354,44.9,-2.2,19.1
1954-04-01,9.336666666666668,27.2,0.6,21.0
1954-05-01,13.748387096774193,62.800000000000004,3.2,29.0
1954-06-01,18.753333333333334,39.1,7.4,32.8
1954-07-01,18.96451612903226,27.3,6.4,34.2
1954-08-01,18.79032258064516,225.5,9.6,33.3
1954-09-01,16.733333333333334,90.4,4.7,29.7
1954-10-01,11.796774193548387,53.9,0.4,23.2
1954-11-01,8.496666666666666,72.80000000000001,-1.0,19.6
1954-12-01,5.448387096774193,127.60000000000001,-1.0,13.2
1955-01-01,4.829032258064516,106.5,-4.8,17.7
1955-02-01,4.314285714285714,89.9,-6.0,15.3
1955-03-01,5.390322580645161,26.700000000000003,-5.5,21.9
1955-04-01,11.153333333333334,2.4,-0.6,27.9
1955-05-01,14.26774193548387,68.3,2.0,26.6
1955-06-01,18.263333333333332,141.20000000000002,5.2,29.9
1955-07-01,20.419354838709676,53.6,9.6,33.1
1955-08-01,20.02258064516129,110.7,6.4,31.8
1955-09-01,16.193333333333335,16.3,5.4,27.6
1955-10-01,9.73225806451613,47.1,-2.7,22.4
1955-11-01,5.7733333333333325,78.7,-7.2,22.9
1955-12-01,6.003225806451613,71.2,-2.6,15.4
1956-01-01,4.190322580645161,73.7,-4.7,14.7
1956-02-01,-6.672413793103448,9.7,-21.4,8.5
1956-03-01,6.84516129032258,55.7,-5.7,19.0
1956-04-01,9.026666666666667,75.4,-2.0,19.4
1956-05-01,15.33548387096774,89.8,3.7,27.7
1956-06-01,15.773333333333333,58.3,6.9,29.0
1956-07-01,19.164516129032258,94.1,9.0,32.2
1956-08-01,17.383870967741935,149.4,7.0,32.0
1956-09-01,17.376666666666665,172.8,8.2,28.1
1956-10-01,9.996774193548386,91.5,1.0,26.3
1956-11-01,3.8800000000000003,14.6,-3.5,15.2
1956-12-01,4.680645161290323,30.299999999999997,-5.4,15.5
1957-01-01,0.3290322580645161,34.4,-12.0,12.8
1957-02-01,7.692857142857143,81.5,-3.1,17.9
1957-03-01,10.351612903225806,19.7,-2.2,21.3
1957-04-01,10.620000000000001,56.1,-2.0,23.9
1957-05-01,12.448387096774194,46.0,1.3,26.2
1957-06-01,18.21333333333333,124.60000000000001,8.0,32.7
1957-07-01,20.187096774193545,46.0,9.9,35.5
1957-08-01,19.074193548387097,54.3,7.2,33.8
1957-09-01,16.013333333333335,35.9,2.3,29.7
1957-10-01,11.13225806451613,22.0,-0.8,25.3
1957-11-01,5.9766666666666675,81.39999999999999,-3.4,17.3
1957-12-01,2.6838709677419357,44.6,-4.9,13.9
1958-01-01,3.5677419354838706,37.8,-4.8,12.8
1958-02-01,6.303571428571429,32.4,-5.2,21.9
1958-03-01,5.241935483870968,69.2,-4.6,17.3
1958-04-01,8.54,28.6,-1.0,22.8
1958-05-01,16.67096774193548,93.9,6.8,28.2
1958-06-01,17.496666666666666,127.2,8.1,29.0
1958-07-01,20.280645161290323,32.1,9.7,32.9
1958-08-01,20.648387096774194,153.1,10.0,35.8
1958-09-01,18.293333333333333,146.7,5.8,28.6
1958-10-01,10.674193548387096,77.6,-0.7,25.0
1958-11-01,5.583333333333333,70.89999999999999,1.2,13.0
1958-12-01,4.464516129032258,104.4,-5.6,14.7
1959-01-01,3.2612903225806456,45.2,-4.9,16.0
1959-02-01,3.1785714285714284,1.1,-4.9,17.8
1959-03-01,9.880645161290323,109.8,0.1,18.0
1959-04-01,11.229999999999999,78.0,-1.0,23.4
1959-05-01,14.845161290322581,16.5,2.0,25.4
1959-06-01,18.883333333333333,41.0,2.3,30.6
1959-07-01,22.919354838709676,19.0,9.5,33.8
1959-08-01,20.187096774193545,109.0,10.2,32.3
1959-09-01,18.09333333333333,18.6,8.2,28.1
1959-10-01,12.158064516129032,73.3,0.4,24.2
1959-11-01,6.3100000000000005,93.8,-1.9,16.8
1959-12-01,5.745161290322581,67.3,-3.0,12.0
1960-01-01,1.9870967741935484,66.2,-14.2,14.9
1960-02-01,5.7620689655172415,99.5,-7.1,21.4
1960-03-01,8.738709677419354,69.9,-2.2,17.6
1960-04-01,10.276666666666667,14.4,0.4,21.8
1960-05-01,16.480645161290322,44.699999999999996,0.6,29.3
1960-06-01,19.42,105.9,8.0,32.6
1960-07-01,18.22258064516129,122.9,9.8,29.9
1960-08-01,18.593548387096774,138.5,8.9,29.7
1960-09-01,14.6,210.7,4.2,27.1
1960-10-01,11.783870967741937,176.2,-0.7,22.4
1960-11-01,8.373333333333333,118.4,-3.0,17.7
1960-12-01,2.5548387096774197,63.9,-5.8,13.1
1961-01-01,3.2483870967741937,64.0,-3.1,14.1
1961-02-01,7.7178571428571425,39.7,-1.1,18.3
1961-03-01,8.070967741935483,13.9,-3.8,21.3
1961-04-01,13.243333333333334,110.9,3.0,24.9
1961-05-01,13.609677419354838,38.3,1.7,27.2
1961-06-01,18.846666666666668,38.3,6.3,32.4
1961-07-01,19.625806451612902,76.3,8.9,32.5
1961-08-01,19.138709677419353,60.199999999999996,8.0,34.1
1961-09-01,20.87,14.8,7.8,33.8
1961-10-01,12.94516129032258,143.2,1.0,24.1
1961-11-01,5.903333333333333,58.7,-2.4,15.0
1961-12-01,4.319354838709677,72.1,-9.6,16.8
1962-01-01,4.851612903225806,45.1,-7.0,13.2
1962-02-01,2.2535714285714286,53.2,-6.8,10.0
1962-03-01,4.680645161290323,49.1,-5.0,16.7
1962-04-01,10.113333333333333,42.0,-1.9,24.2
1962-05-01,13.148387096774194,71.5,0.4,28.0
1962-06-01,17.34333333333333,32.7,3.7,32.2
1962-07-01,20.04516129032258,25.0,6.1,34.9
1962-08-01,21.135483870967743,65.1,10.4,33.8
1962-09-01,16.516666666666666,119.9,3.2,32.6
1962-10-01,10.98709677419355,40.3,1.6,24.8
1962-11-01,4.4399999999999995,25.4,-5.4,17.0
1962-12-01,-0.5709677419354838,90.0,-13.7,12.0
1963-01-01,-3.6774193548387095,41.5,-23.0,10.6
1963-02-01,-1.1642857142857141,59.4,-19.3,9.2
1963-03-01,7.012903225806451,75.10000000000001,-4.2,17.9
1963-04-01,11.113333333333333,72.3,-0.4,21.3
1963-05-01,13.393548387096773,54.7,1.8,24.9
1963-06-01,17.376666666666665,130.3,9.4,31.1
1963-07-01,20.56451612903226,76.0,11.3,32.0
1963-08-01,17.858064516129033,202.4,8.3,29.6
1963-09-01,15.81,39.0,5.7,25.4
1963-10-01,11.074193548387097,33.5,-1.0,21.4
1963-11-01,9.870000000000001,109.7,-1.6,19.8
1963-12-01,-1.6225806451612903,25.3,-16.0,11.6
1964-01-01,-0.7645161290322581,45.199999999999996,-6.3,13.1
1964-02-01,5.244827586206896,41.800000000000004,-5.7,17.9
1964-03-01,5.929032258064517,141.5,-6.0,17.4
1964-04-01,11.243333333333334,77.10000000000001,0.0,22.8
1964-05-01,15.748387096774193,71.39999999999999,3.8,27.3
1964-06-01,19.046666666666667,42.6,9.7,30.4
